gene	BF.misA	BF.misB	BF.pLoF	BF.total	qval	pval	oe_lof_upper	oe_lof_upper_bin	dn.misA	dn.misB	dn.pLoF	case.pLoF	ctrl.pLoF
TIMM44	0.860473	0.964077	43.5024	36.0879	0.290988	0.00104815	0.597	3	0	0	1	2	1
SF3B3	351.772	0.932926	0.109928	36.076	0.296925	0.00104843	0.178	0	2	0	0	0	2
WDR26	0.865258	0.965376	42.6121	35.5939	0.302687	0.00107359	0.085	0	0	0	2	0	0
DPP3	0.795249	0.945844	47.2209	35.5187	0.308228	0.0010796	0.807	4	0	0	0	4	0
LILRB1	0.84874	0.960872	43.2532	35.2743	0.313585	0.00109647	1.055	5	0	0	2	0	0
PRICKLE1	17.3658	0.952211	2.12039	35.0625	0.318764	0.00110762	0.129	0	1	0	0	1	0
CEBPZ	0.821828	0.953399	43.805	34.3225	0.323845	0.00115393	0.572	2	0	0	1	3	2
GRHL2	0.857573	0.963288	40.6191	33.555	0.32884	0.00119482	0.27	1	0	0	2	0	0
FBXO11	17.8302	0.958033	1.96365	33.5429	0.333654	0.00119653	0.097	0	1	0	1	0	0
LOXL3	17.1883	0.949957	2.04134	33.3313	0.338324	0.00120454	0.86	4	1	0	0	1	0
GRHL1	0.866795	0.965792	39.7794	33.3011	0.342834	0.00120568	0.428	2	0	0	1	1	0
TRPV3	17.0898	0.948697	2.05188	33.2672	0.347192	0.00120683	1.146	6	1	0	0	1	0
PKP3	0.775759	0.94019	43.223	31.5251	0.351621	0.00129089	0.68	3	0	0	1	2	1
DBN1	0.828298	0.955211	39.4446	31.2086	0.355942	0.00130289	0.263	0	0	0	1	1	0
FOXP1	0.856733	0.963059	37.3287	30.7993	0.360174	0.00132148	0.175	0	0	0	1	1	0
NACAD	0.736355	0.928439	43.8919	30.0072	0.364368	0.00136293	0.411	1	0	0	1	1	0
PDPR	0.821184	0.953218	38.3082	29.9864	0.368431	0.00136322	0.676	3	0	0	1	1	0
PRRC2C	0.579241	0.876533	55.5395	28.1987	0.372592	0.00144356	0.121	0	0	0	1	2	0
SPTBN1	0.515106	0.852408	62.5656	27.4714	0.376717	0.00147673	0.088	0	0	0	1	2	0
TLK2	0.84949	0.961078	33.5531	27.3936	0.380728	0.00148187	0.114	0	0	0	1	1	0
HIRA	16.0338	0.934862	1.82323	27.3291	0.384627	0.00148302	0.136	0	1	0	0	1	0
ABR	0.789509	0.944189	36.3893	27.1263	0.388436	0.00149217	0.361	1	0	0	1	1	0
LHX3	0.919105	4.21572	6.71963	26.0365	0.392271	0.00155021	0.742	3	0	1	1	0	1
ATXN2L	0.75685	0.934605	33.4419	23.6553	0.396302	0.00165513	0.143	0	0	0	1	1	0
ADAMTS9	0.623407	3.73166	10.0165	23.3018	0.400265	0.001668	0.39	1	0	1	0	3	0
PLEKHA6	0.719461	0.923263	34.7912	23.1101	0.404144	0.00167543	0.422	2	0	0	1	1	0
KIAA1328	0.902832	0.975396	25.5133	22.4675	0.407999	0.0017046	0.926	5	0	0	1	4	4
MINK1	14.2238	0.909517	1.7145	22.1801	0.411789	0.00171546	0.132	0	1	0	1	0	0
SIN3A	0.739742	0.929466	31.3636	21.5645	0.415557	0.00174348	0.07	0	0	0	1	1	0
UNC13B	0.671404	0.908048	34.606	21.0982	0.419287	0.00175949	0.586	3	0	0	0	6	2
LCE1E	0.978045	0.994595	21.0788	20.5046	0.422997	0.00178408	1.659	8	0	0	0	3	0
ARL9	0.979623	0.994986	20.8011	20.275	0.426642	0.0017958	0.862	4	0	0	0	3	0
PTCH1	0.658401	0.903798	34.0045	20.2347	0.4302	0.00179838	0.075	0	0	0	2	0	0
C9orf47	0.963882	0.991062	20.6483	19.7246	0.433735	0.0018304	1.771	9	0	0	0	3	0
ZNF736	0.933231	0.983288	21.2877	19.5344	0.437207	0.00184212	1.843	9	0	0	0	3	0
LRRC26	0.963843	0.991053	20.42	19.5056	0.440598	0.00184441	1.678	8	0	0	0	3	0
ATAD3A	0.802749	4.03935	5.87059	19.0359	0.443967	0.00189616	0.827	4	0	1	0	2	0
FAIM	0.955702	0.989005	20.0999	18.9983	0.44726	0.00190102	1.382	7	0	0	0	3	0
MYO15B	0.928776	0.982143	20.7598	18.9369	0.450484	0.00191188	1.064	5	0	0	0	3	0
FPR2	0.920915	0.980113	20.5539	18.5519	0.45368	0.00196192	1.701	8	0	0	0	3	0
KCNK16	0.937001	0.984254	19.987	18.4329	0.456818	0.0019765	1.416	7	0	0	0	3	0
GJB6	0.937102	0.98428	19.9656	18.4157	0.459886	0.00197936	1.739	8	0	0	0	3	0
ZFHX3	0.390443	0.798498	58.9623	18.3826	0.46289	0.00198908	0.136	0	0	0	1	3	1
SYNGR1	0.92284	0.980612	20.1896	18.2705	0.46584	0.00200795	0.638	3	0	0	0	3	0
IRX4	19.0596	0.972927	0.963936	17.8749	0.468772	0.00206856	0.734	3	1	0	0	1	1
MFSD3	0.925853	0.98139	19.6125	17.8204	0.471648	0.00207599	1.852	9	0	0	0	3	0
MROH1	0.873677	0.967648	20.9567	17.717	0.474474	0.00209601	0.486	2	0	0	0	4	1
MTRF1L	0.93199	0.98297	19.2755	17.6586	0.477246	0.00210859	1.48	7	0	0	0	3	0
GABRA6	0.907968	0.976743	19.7919	17.5524	0.479973	0.00212431	1.378	7	0	0	0	4	1
GPN3	0.933997	0.983485	18.992	17.4456	0.482655	0.00214747	1.069	5	0	0	0	3	0
DTNBP1	0.926354	0.981519	19.0663	17.3357	0.485294	0.00216863	0.984	5	0	0	0	3	0
ZNF793	0.914507	0.978449	19.2292	17.2062	0.487894	0.00221323	1.293	7	0	0	0	3	0
EIF3G	0.895997	0.973596	19.2043	16.7526	0.490493	0.00231902	0.275	1	0	0	0	3	0
ARAP3	0.649738	0.900932	28.2536	16.5388	0.493065	0.00236305	0.433	2	0	0	1	1	0
IFT57	0.916376	0.978936	18.3856	16.4932	0.495591	0.00237534	1.096	6	0	0	0	3	0
SDS	0.909086	0.977035	18.1709	16.1396	0.498107	0.00246369	1.072	5	0	0	1	1	1
CYP3A4	0.907525	0.976627	18.0741	16.0193	0.500587	0.00249685	1.122	6	0	0	0	3	0
CTNNA1	16.8643	0.945797	0.995078	15.8717	0.503037	0.00254117	0.313	1	1	0	0	3	3
CPN1	0.869727	0.966584	18.715	15.733	0.505455	0.00257005	1.063	5	0	0	0	3	0
ZNF658	0.877855	0.968769	18.1578	15.4421	0.50786	0.00264353	1.9	9	0	0	0	3	0
NOSTRIN	0.906123	0.97626	17.2812	15.2871	0.510237	0.00269442	1.094	6	0	0	0	3	0
HAS1	0.845446	0.959967	18.7027	15.1791	0.512582	0.00272444	1.379	7	0	0	0	3	0
BAG3	0.860003	0.96395	18.2665	15.1429	0.514888	0.00273645	0.447	2	0	0	0	3	0
ATAD3C	0.872428	0.967312	17.914	15.1177	0.517155	0.00273959	1.174	6	0	0	1	1	1
ZC3HC1	0.890892	0.972245	17.4488	15.1135	0.519381	0.00274159	0.652	3	0	0	0	3	0
AOC1	0.796328	0.946155	19.9497	15.0311	0.521576	0.00276447	0.969	5	0	0	0	3	0
HMCN2	0.808342	0.949588	19.5	14.9681	0.523739	0.00277991	1.015	5	0	0	0	3	0
CHST15	0.846604	0.960285	18.3759	14.9393	0.525867	0.0027882	0.803	4	0	0	0	3	0
NOBOX	0.855535	0.962732	18.1349	14.9368	0.527959	0.00279048	0.759	4	0	0	0	3	0
PDIA2	0.844947	0.959829	18.3899	14.9143	0.530017	0.00279792	1.963	9	0	0	0	3	0
PCSK5	0.63472	0.8959	26.1703	14.8816	0.532042	0.0028065	0.499	2	0	0	1	1	0
NBPF14	0.913916	0.978296	16.6436	14.8807	0.534034	0.00280793	1.939	9	0	0	0	3	0
KCNN4	0.887326	0.971298	17.1976	14.8219	0.535998	0.00282194	1.008	5	0	0	1	1	1
METTL22	0.89497	0.973325	16.9474	14.7628	0.537935	0.00283737	1.354	7	0	0	1	1	1
SLC6A20	0.85115	0.961533	17.8408	14.6011	0.539857	0.00287111	1.26	7	0	0	0	3	0
SLC43A2	0.845352	0.959941	17.9002	14.5258	0.541754	0.00289227	0.574	2	0	0	0	3	0
CHD4	12.9637	0.890447	1.24918	14.4199	0.543631	0.00291972	0.156	0	1	0	1	0	0
ARNTL	0.866153	0.965618	16.9748	14.1973	0.5455	0.00298119	0.277	1	0	0	0	3	0
PADI1	0.846503	0.960257	17.2853	14.0506	0.547353	0.00301664	1.136	6	0	0	0	3	0
EFHC1	0.852437	0.961886	17.0301	13.9637	0.549186	0.00303951	1.205	6	0	0	0	3	0
ZP2	0.855868	0.962823	16.7332	13.789	0.551006	0.00308326	0.73	3	0	0	0	3	0
HMGXB3	0.756259	0.934429	18.2986	12.9311	0.552883	0.00326481	0.258	0	0	0	0	3	0
CHD3	12.0854	0.87634	1.21935	12.9141	0.554732	0.0032691	0.147	0	1	0	0	1	0
MST1	0.809598	0.949945	16.3919	12.6066	0.556583	0.00333228	1.032	5	0	0	0	3	0
GFPT2	0.816831	0.951992	16.1993	12.5968	0.558407	0.00333486	0.74	3	0	0	0	3	0
MED16	15.404	0.926291	0.84918	12.1166	0.56025	0.00342778	1.031	5	1	0	0	1	1
ZNF217	0.76509	0.937051	16.7719	12.0243	0.562075	0.00344493	0.147	0	0	0	0	3	0
INPP4B	0.839407	0.9583	14.7174	11.8387	0.563891	0.00347839	0.353	1	0	0	0	3	0
KMT2D	0.253874	0.722565	62.5102	11.4669	0.565716	0.00356273	0.103	0	0	0	2	0	1
PML	0.73098	0.926802	16.8321	11.4033	0.567522	0.00357531	0.433	2	0	0	0	3	0
TELO2	0.752939	0.933438	15.9081	11.1806	0.569322	0.00361305	0.927	5	0	0	0	3	0
CEP112	0.826629	0.954745	14.0517	11.0899	0.571106	0.00363363	1.127	6	0	0	0	3	0
S1PR5	18.8142	4.16187	0.140551	11.0055	0.572872	0.00365508	1.034	5	1	1	0	0	0
TTPA	0.946527	4.25516	2.72515	10.9759	0.574616	0.0036628	1.091	6	0	1	0	2	1
KLB	0.773148	0.939424	14.5067	10.5364	0.576377	0.00374771	0.425	2	0	0	1	1	1
DNAH14	0.930767	0.982656	11.4508	10.4731	0.578121	0.00376201	1.517	8	0	0	0	3	0
OSBPL5	0.761343	0.935941	14.3153	10.2007	0.579866	0.0038272	0.555	2	0	0	1	1	1
CIRBP	0.942601	4.24956	2.46868	9.88865	0.581617	0.00390782	0.598	3	0	1	0	1	0
SYNM	0.694747	0.915533	15.2529	9.70181	0.583363	0.00395099	1.162	6	0	0	0	3	0
DHX8	15.4454	0.926863	0.673556	9.6425	0.58509	0.00396901	0.495	2	1	0	0	1	1
BCR	0.704538	0.918619	14.6551	9.48478	0.58681	0.00401675	0.296	1	0	0	0	3	0
EVC2	0.732289	0.927201	13.8677	9.4159	0.588512	0.00403591	1.064	5	0	0	0	3	0
INA	0.909932	4.20236	2.43892	9.32609	0.590201	0.00405764	1.401	7	0	1	0	1	0
ZNF587	0.895003	4.18042	2.4899	9.31593	0.591868	0.0040605	1.673	8	0	1	0	1	0
HSPA2	17.1453	4.04719	0.131951	9.15614	0.593528	0.00411339	0.671	3	1	1	0	0	0
DGKD	0.71188	0.920912	13.856	9.08369	0.595173	0.00413684	0.366	1	0	0	1	2	2
DENND4C	0.726772	0.925514	12.6608	8.51613	0.596852	0.00429866	0.445	2	0	0	0	3	0
PITPNM1	0.653902	0.902313	14.2996	8.43712	0.598516	0.00431953	0.433	2	0	0	0	3	0
MAPKBP1	14.2611	0.910063	0.616078	7.99575	0.600201	0.00444076	0.406	1	1	0	0	1	1
TNS3	0.67587	0.909494	12.6229	7.75931	0.601887	0.00452396	0.192	0	0	0	1	1	1
COLEC12	0.847523	4.10905	2.21508	7.71405	0.603557	0.00453654	0.354	1	0	1	0	1	0
ATRAID	0.939762	0.98496	8.24148	7.62854	0.605213	0.00456313	1.124	6	0	0	1	1	2
DOCK7	0.640466	3.76322	3.13726	7.56149	0.606855	0.00459658	0.379	1	0	1	1	0	1
AREL1	0.814032	4.05715	2.28613	7.55028	0.608478	0.0046043	0.6	3	0	1	0	1	0
SFT2D3	0.990336	0.997631	7.5794	7.48837	0.610086	0.00463861	1.873	9	0	0	0	2	0
WDR7	0.708081	0.919727	11.2115	7.3014	0.611693	0.00475097	0.181	0	0	0	1	1	1
DNAH10OS	0.971924	0.993073	7.52269	7.26084	0.613283	0.00479643	1.903	9	0	0	0	2	0
C10orf55	0.96953	0.992475	7.44054	7.15954	0.614864	0.00491737	1.936	9	0	0	0	2	0
GSC2	0.97717	0.994378	7.36351	7.15494	0.616426	0.00492624	1.905	9	0	0	0	2	0
C20orf144	0.970797	0.992792	7.42323	7.15451	0.617969	0.00493052	1.949	9	0	0	0	2	0
RRAGD	19.7799	0.981333	0.362797	7.04212	0.619504	0.0050772	0.436	2	1	0	0	0	1
RNF19A	0.831938	4.08507	2.06787	7.02772	0.621022	0.00509549	0.473	2	0	1	0	1	0
ZNF69	0.976514	0.994215	7.22832	7.01772	0.622524	0.00513009	1.866	9	0	0	0	2	0
OR11H1	0.979872	0.995048	7.18532	7.00582	0.624008	0.00515296	1.955	9	0	0	0	2	0
GPR35	0.892617	0.972702	8.03581	6.9771	0.625478	0.00519699	1.509	8	0	0	1	1	2
CCDC134	0.940618	0.985178	7.52553	6.97373	0.626931	0.00520671	1.542	8	0	0	0	3	1
MRPS34	0.96574	0.991528	7.27228	6.96364	0.628368	0.00522987	1.722	8	0	0	0	2	0
CABS1	0.929856	0.982421	7.60835	6.95031	0.62979	0.00524703	1.34	7	0	0	0	3	1
VKORC1	0.962846	0.990802	7.28134	6.94633	0.631196	0.00525675	1.02	5	0	0	0	2	0
NPIPB4	0.945756	0.986487	7.44028	6.9416	0.632587	0.00526161	0.963	5	0	0	0	2	0
RGS21	0.972211	0.993144	7.18749	6.93986	0.633962	0.00526618	1.648	8	0	0	0	2	0
NUDT16	0.956802	0.989282	7.32741	6.93575	0.635321	0.00527133	1.901	9	0	0	0	2	0
C10orf67	0.968709	0.99227	7.20152	6.92225	0.636667	0.00530507	1.799	9	0	0	0	2	0
PRAMEF14	0.969037	0.992352	7.16898	6.89388	0.638	0.00535196	1.89	9	0	0	0	2	0
HEBP2	0.96401	0.991094	7.19185	6.87127	0.639321	0.00539541	1.541	8	0	0	0	2	0
PIGF	0.966266	0.99166	7.15775	6.85861	0.640628	0.00541972	1.264	7	0	0	0	2	0
RTP4	0.951179	0.987862	7.29587	6.85544	0.641921	0.00542572	1.033	5	0	0	0	2	0
METTL11B	0.943449	0.9859	7.36945	6.85467	0.6432	0.00543115	1.113	6	0	0	0	2	0
C12orf65	0.960784	0.990285	7.19808	6.84861	0.644466	0.00545517	0.907	4	0	0	0	2	0
ANKRD60	0.933753	0.983422	7.44987	6.84102	0.645719	0.00547947	1.698	8	0	0	0	2	0
FOXQ1	0.958038	0.989594	7.17368	6.80114	0.646962	0.00558011	0.965	5	0	0	0	2	0
OR2T35	0.953948	0.988562	7.21131	6.80053	0.648191	0.00558755	1.59	8	0	0	0	2	0
NOL3	0.950156	0.987603	7.23586	6.78997	0.649409	0.00561185	1.617	8	0	0	0	2	0
IL32	0.960285	0.990159	7.1286	6.77812	0.650614	0.00564702	1.917	9	0	0	0	2	0
FAM86B1	0.956421	0.989186	7.13938	6.75441	0.651809	0.00570248	1.844	9	0	0	0	2	0
TRAF7	0.804841	4.04266	2.07578	6.75396	0.652992	0.00570248	0.456	2	0	1	0	1	0
SNX24	0.971303	0.992918	7.00265	6.75352	0.654162	0.00570648	1.323	7	0	0	0	2	0
OR8D2	0.944226	0.986098	7.24899	6.74953	0.655321	0.00571306	1.493	8	0	0	0	2	0
PHACTR1	0.968114	0.992122	7.01587	6.73865	0.656469	0.00573765	0.917	5	0	0	0	2	0
CRYBA2	0.95956	0.989977	7.08397	6.72936	0.657605	0.00576338	1.263	7	0	0	0	2	0
POP5	0.96754	0.991978	7.01125	6.72924	0.65873	0.00576367	1.602	8	0	0	1	0	1
GSTA2	0.957678	0.989503	7.10015	6.72829	0.659844	0.00576881	1.677	8	0	0	0	2	0
MAPK11	19.2589	0.975275	0.356316	6.69257	0.66095	0.00587403	0.79	4	1	0	0	0	1
GOLGA8M	0.941758	0.985469	7.20928	6.69074	0.662044	0.00588661	1.508	8	0	0	0	2	0
TM2D1	0.952861	0.988288	7.08244	6.66953	0.663129	0.00593693	1.115	6	0	0	0	2	0
CAPNS2	0.945285	0.986367	7.14813	6.6649	0.664204	0.00595208	1.361	7	0	0	0	2	0
OR8K3	0.94455	0.98618	7.14048	6.65133	0.66527	0.00598954	1.893	9	0	0	0	2	0
ZNF587B	0.927743	0.981877	7.30076	6.65048	0.666325	0.00599325	1.806	9	0	0	0	2	0
MDFI	0.941982	0.985526	7.15028	6.63794	0.66737	0.00603843	0.734	3	0	0	0	2	0
KCTD21	0.930133	0.982493	7.24925	6.62472	0.668407	0.00608732	1.678	8	0	0	0	2	0
OR5T2	0.938415	0.984616	7.16703	6.62218	0.669434	0.00609218	1.814	9	0	0	0	2	0
OR4K14	0.939339	0.984852	7.13806	6.60349	0.670452	0.00618567	1.594	8	0	0	0	2	0
TAS2R40	0.938235	0.98457	7.13669	6.59258	0.671461	0.00623227	1.312	7	0	0	0	2	0
STK3	19.3188	0.975979	0.349212	6.58431	0.672462	0.00626115	0.871	4	1	0	0	0	1
TNFRSF18	0.931653	0.982883	7.1807	6.57541	0.673453	0.00628917	1.88	9	0	0	0	2	0
PAIP1	19.7528	0.98102	0.338647	6.56226	0.674437	0.00633063	0.198	0	1	0	0	0	1
HOXD13	0.944983	0.98629	7.0406	6.56203	0.675411	0.0063352	0.952	5	0	0	0	2	0
SEMA4D	0.784297	4.00989	2.08574	6.55955	0.676376	0.00634178	0.314	1	0	1	0	1	0
CYSLTR2	0.932581	0.983121	7.15202	6.55726	0.677332	0.00636008	1.77	9	0	0	0	2	0
ODF3L1	0.921773	0.980336	7.25635	6.55718	0.678279	0.00636065	1.743	8	0	0	0	3	1
APOBEC3H	0.940098	0.985046	7.06212	6.5398	0.679219	0.00644528	1.017	5	0	0	0	2	0
IAH1	0.948747	0.987246	6.98182	6.5395	0.680151	0.00644785	0.914	5	0	0	0	2	0
OR52K1	0.931468	0.982836	7.14279	6.53908	0.681074	0.00644814	1.969	9	0	0	1	0	1
KRTAP10-5	0.929907	0.982434	7.14375	6.52634	0.681989	0.00648245	1.395	7	0	0	0	2	0
EAF1	0.945809	0.9865	6.99183	6.52367	0.682896	0.00649159	0.766	4	0	0	0	2	0
GTF2H2C	0.975649	0.994	6.7167	6.51383	0.683796	0.00653048	0.994	5	0	0	0	2	0
GLT6D1	0.932269	0.983041	7.10154	6.50827	0.684688	0.0065402	1.174	6	0	0	1	0	1
FRRS1L	0.94521	0.986348	6.97643	6.50417	0.685573	0.00655278	1.088	6	0	0	0	2	0
EMC10	0.9257	0.981351	7.15371	6.49869	0.68645	0.00656965	1.605	8	0	0	0	2	0
LRRC63	0.926702	0.981609	7.14202	6.49681	0.687319	0.00658623	0.952	5	0	0	0	2	0
SPI1	0.935782	0.983942	7.04571	6.48737	0.688182	0.00661597	0.244	0	0	0	0	2	0
TRIM64C	0.921109	0.980164	7.17674	6.47943	0.689037	0.00663684	1.513	8	0	0	0	2	0
CLEC11A	0.941193	0.985325	6.96784	6.46184	0.689886	0.00671289	1.116	6	0	0	0	2	0
MRPS18A	0.944536	0.986177	6.91799	6.44397	0.690729	0.00676807	1.341	7	0	0	0	2	0
COQ10A	0.940676	0.985193	6.95085	6.44168	0.691565	0.00677608	1.126	6	0	0	0	2	0
HVCN1	0.933119	0.98326	7.01439	6.4357	0.692394	0.00679666	0.535	2	0	0	0	2	0
HLF	0.924331	0.980997	7.07663	6.41685	0.693217	0.0068527	0.313	1	0	0	0	2	0
SRPRB	0.946966	0.986794	6.86239	6.41263	0.694034	0.00687586	0.827	4	0	0	0	2	0
ITPR2	11.9511	0.874116	0.611349	6.38653	0.694845	0.00694676	0.615	3	1	0	0	4	4
SURF2	0.937273	0.984324	6.87993	6.34728	0.695652	0.00710745	1.381	7	0	0	0	2	0
ANKRD34C	0.894561	0.973216	7.28047	6.33839	0.696453	0.00715148	0.684	3	0	0	0	2	0
NR2F6	0.919229	0.979676	6.99646	6.30064	0.69725	0.00728814	0.638	3	0	0	0	2	0
TMEM231	0.926236	0.981489	6.92885	6.29895	0.69804	0.00730501	1.213	6	0	0	0	2	0
KLHDC9	0.925165	0.981212	6.92219	6.28385	0.698825	0.00737734	1.526	8	0	0	0	2	0
CBX7	0.926904	0.981661	6.88925	6.26856	0.699604	0.00744368	0.505	2	0	0	1	0	1
LRTOMT	0.921289	0.98021	6.93231	6.26027	0.700377	0.00747169	1.202	6	0	0	0	2	0
DNAH1	0.321163	0.762919	25.5404	6.25794	0.701144	0.00748084	0.478	2	0	0	1	6	5
MICU3	0.909912	0.977251	7.03111	6.25215	0.701905	0.00751201	1.017	5	0	0	0	2	0
ZIK1	0.910513	0.977408	7.01182	6.24012	0.70266	0.00756633	1.916	9	0	0	0	2	0
RIOK2	0.895346	0.973424	7.15281	6.23404	0.70341	0.00758777	0.695	3	0	0	1	1	2
CASD1	0.862607	0.964657	7.49137	6.23372	0.704154	0.00759321	0.435	2	0	0	1	2	3
SP8	0.917071	0.979116	6.93999	6.23155	0.704892	0.00760579	0.285	1	0	0	0	2	0
C17orf97	0.893863	0.973032	7.16031	6.22774	0.705624	0.0076258	1.969	9	0	0	0	2	0
ZNF468	0.899303	0.974468	7.10265	6.22436	0.706351	0.00764381	1.937	9	0	0	0	2	0
OGFOD3	0.892718	0.972729	7.16556	6.22237	0.707072	0.0076684	1.31	7	0	0	0	2	0
XXYLT1	0.911169	0.97758	6.98195	6.2191	0.707788	0.00768184	1.111	6	0	0	0	2	0
ZNF814	0.855273	0.962661	7.54001	6.20797	0.708498	0.00772587	1.717	8	0	0	0	2	0
ZNF419	0.910431	0.977387	6.95912	6.19253	0.709204	0.00783023	1.479	7	0	0	0	2	0
PM20D2	0.927832	0.9819	6.79597	6.19139	0.709905	0.0078348	0.992	5	0	0	0	2	0
C1QTNF4	0.891741	0.97247	7.12662	6.18014	0.7106	0.00787712	0.991	5	0	0	0	2	0
C11orf42	0.919029	0.979625	6.83427	6.15292	0.711292	0.00800149	1.472	7	0	0	0	2	0
SERPINA5	0.905572	0.976116	6.95561	6.14837	0.711979	0.00802465	1.72	8	0	0	0	2	0
ERLIN2	0.92873	0.982132	6.74024	6.14801	0.712661	0.00802893	0.833	4	0	0	0	2	0
SLC35C1	0.893857	0.97303	7.05808	6.13876	0.713338	0.00808183	0.975	5	0	0	0	2	0
